task_distance,bwt,forget,full_accs,acc,complex_1epoch,complex_25epoch,complex_50epoch,leep,leep_buffer,logme,logme_buffer,logme_model,logme_simple_model_1epoch,logme_simple_model_50epoch,leep_1stacc,bwt_leep,sequence_label,sequence_sample,sequence_unique
"[632.9173098560423, 425.62249009648804, 459.83401375217363, 660.5751829709625, 609.0602366130333]",-1.6583333333333314,2.8138888888888856,"[[98.5, 12.833333333333332, 0.0, 0.0, 0.0], [98.2, 95.46666666666667, 54.733333333333334, 0.0, 0.0], [98.0, 95.63333333333334, 98.2, 61.36666666666667, 0.0], [98.13333333333333, 96.06666666666666, 97.2, 97.96666666666667, 53.833333333333336], [97.86666666666667, 94.33333333333334, 94.6, 96.7, 95.53333333333333]]",0.9580666666666666,"[13.733333333333334, 16.60000000000001, 16.233333333333334, 17.96666666666667, 21.233333333333334]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.5815231638914082, -0.5936615954470705, -0.6596658662876341, -0.664118802558026]","[-0.6263168590769611, -0.659040855156816, -0.7426039857730906, -0.7716933231729862]","[-0.02291767888616451, 0.12285745508612024, 0.159148941374842, 0.05267753261924468]","[0.6010165762039806, 1.066960741129805, 1.3055434729577262, 1.5193038127007474]","[[0.840042119393328, -0.022062238201416395, -0.1553664784455201, -0.10134694151191907, -0.1235748135307887], [0.8009862310902376, 0.9045333766822936, 0.1275631056758328, -0.016410751741412526, -0.05358658501415329], [0.6846845852095744, 0.867133686204089, 1.1565701793398446, 0.15913613513888056, -0.03704363809435588], [0.6016737578664157, 0.6581299149504378, 0.8618131765159015, 1.0203475267814752, 0.05327296235194334], [0.6645468710055754, 0.45427905122010087, 0.4293407178647053, 0.7215432781141037, 0.9078001631606684]]","[[-0.08345829153136568, -0.34296115424743245, -0.3437041232147458, -0.27959297609794614, -0.34690853676256167], [-0.2910974591689843, -0.17504627750472332, -0.3041462749605252, -0.3207615677559344, -0.3747338223871728], [-0.3329662644041722, -0.31809206306305104, -0.12863640900214093, -0.35067324366194935, -0.38074662347025523], [-0.2954693845936414, -0.34931222300214865, -0.3317490297071762, -0.14239533735997423, -0.3429332231399333], [-0.2861117849969808, -0.34538935617848704, -0.3239209351501829, -0.29315344095406876, -0.2490499648410485]]","[0, 0, 0, 0, 0]",-0.6097423570460347,0,"[[8, 4, 1], [1, 3, 6], [6, 7, 0], [0, 9, 5], [5, 2, 8]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
"[546.3981375396252, 656.0798490354791, 659.8662600852549, 451.82724298071116, 462.8903791240882]",-1.30833333333333,3.7361111111110774,"[[97.89999999999999, 27.933333333333334, 0.0, 0.0, 0.0], [97.33333333333334, 89.26666666666667, 30.666666666666664, 0.0, 0.0], [96.7, 90.53333333333333, 97.46666666666667, 50.33333333333333, 0.0], [96.76666666666667, 89.43333333333334, 96.86666666666667, 98.1, 38.266666666666666], [95.96666666666667, 89.13333333333333, 95.63333333333334, 96.76666666666667, 97.16666666666667]]",0.9493333333333334,"[14.433333333333337, 34.733333333333334, 23.133333333333326, 14.733333333333334, 17.766666666666666]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.639952498815942, -0.5189617974629409, -0.5271387675468235, -0.8069253816850559]","[-0.698381782667109, -0.5890420661617187, -0.6254547165780483, -0.9046766621660731]","[-0.22468018822858724, -0.01703752738218835, 0.19719726347988767, 0.22177168436892924]","[0.4943986370999575, 0.9939318262840844, 1.3284765349575023, 1.507562456940426]","[[0.7643642364782841, -0.22619892924885257, -0.2342539205749027, -0.19508213093414054, 0.05632057011769074], [0.6964867429174797, 0.7290532383406756, -0.01406988417560138, -0.09760851568109084, 0.07875308256502596], [0.5549312188654602, 0.4808507740757803, 1.0555406570037207, 0.19354106164238963, 0.08195419416459913], [0.4950112633292945, 0.34792266224679885, 0.9161388286676573, 1.201413630782491, 0.22524856570983923], [0.6155879877650436, 0.23326453948850936, 0.6113305535707456, 0.8672926147191845, 1.1528535481421625]]","[[-0.08486086349452389, -0.4036342996154871, -0.3972489410800882, -0.34607332795439677, -0.27693434996548494], [-0.28741749889039747, -0.33703733189684665, -0.3793583432539376, -0.3773682619842896, -0.3565215592501633], [-0.3113689368811581, -0.3972506317411637, -0.2493892935262493, -0.2899787079071875, -0.3502512084069509], [-0.33001188378183965, -0.47137238452499547, -0.3689861684736593, -0.09711204873010741, -0.3951140828798594], [-0.21000392122213996, -0.42298773259314976, -0.38383520422691353, -0.34115452361990584, -0.2274975696143006]]","[0, 0, 0, 0, 0]",-0.6022446113776905,0,"[[1, 8, 3], [3, 5, 9], [9, 4, 7], [7, 6, 0], [0, 2, 1]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
"[251.76891238312237, 553.8677822099999, 598.9437878682511, 661.1594084142707, 456.4956707430538]",-0.05833333333333002,5.54999999999998,"[[94.19999999999999, 21.4, 0.0, 0.0, 0.0], [93.03333333333333, 96.06666666666666, 7.733333333333333, 0.0, 0.0], [90.36666666666666, 96.93333333333334, 91.53333333333333, 24.833333333333332, 0.0], [90.60000000000001, 97.1, 95.33333333333334, 97.26666666666667, 11.133333333333335], [90.5, 96.7, 94.36666666666666, 97.26666666666667, 98.06666666666666]]",0.9538,"[31.66666666666667, 12.266666666666666, 20.39999999999999, 14.966666666666669, 16.666666666666657]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.7880696506426593, -0.6048624942595531, -0.6139398050747495, -0.5487250282395928]","[-0.8200938573320923, -0.665318742932102, -0.705734253293509, -0.6589872577807391]","[-0.17200225916080866, -0.023470560274523173, 0.17689995352826593, 0.28046766709048626]","[0.472590058231022, 0.9892599487451901, 1.2792717995618248, 1.5196143004435043]","[[0.4801451237824217, -0.16430055134077026, -0.26057140758422564, -0.21577154566431536, 0.06086266544074844], [0.38052400024510497, 0.8755733793100348, -0.025877428898196508, -0.02139987405486564, 0.10242115003813718], [0.18271423218125335, 0.751085802753776, 0.8795611876820347, 0.1699033716330921, 0.1232306258255611], [0.10638803517872399, 0.6379286333473245, 0.749647744666925, 1.0123000016239916, 0.2753459238885601], [0.23762432359855268, 0.5957886807310534, 0.5117812704965324, 0.8786736851860679, 1.1290912907131807]]","[[-0.40614032054323607, -0.3769160248635212, -0.39311666425926844, -0.3704152691732496, -0.2705112204979595], [-0.5624799805570964, -0.06879666856762835, -0.33394585802215593, -0.2702056997980824, -0.3294308620691579], [-0.5607404719944764, -0.2671186611754264, -0.23069821443948157, -0.29171596614736683, -0.3146926272554542], [-0.5703054551477987, -0.24440932476053842, -0.3333260185258669, -0.13267120881348296, -0.3334085023157615], [-0.501705990291602, -0.33000723843981494, -0.37525560881257025, -0.35125394388206815, -0.1309241686142286]]","[0, 0, 0, 0, 0]",-0.5808992445541387,0,"[[6, 4, 3], [3, 1, 8], [8, 2, 5], [5, 9, 0], [0, 7, 6]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
"[304.8747235038318, 458.4612390345428, 465.83382019854616, 611.5060768285766, 639.3332518208772]",-1.6333333333333329,4.472222222222218,"[[88.53333333333333, 65.76666666666667, 0.0, 0.0, 0.0], [89.63333333333333, 97.66666666666667, 56.56666666666666, 0.0, 0.0], [87.93333333333334, 97.1, 96.1, 11.799999999999999, 0.0], [86.4, 96.63333333333334, 96.13333333333334, 97.26666666666667, 49.4], [85.03333333333333, 96.63333333333334, 94.3, 97.06666666666666, 98.13333333333333]]",0.9423333333333334,"[33.766666666666666, 17.566666666666663, 20.566666666666663, 19.96666666666667, 17.46666666666667]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.5040625975567934, -0.8133350882485363, -0.5218988425505708, -0.6421547698867661]","[-0.5372825520659915, -0.8648211135841498, -0.6221166608516981, -0.7488527074115336]","[0.0395311412529905, -0.15052858411184947, 0.050229025073974844, 0.15455808829233839]","[0.5556167556338937, 0.9519906924417688, 1.2962286267299905, 1.5197122535743475]","[[0.3305435595098921, 0.037554384760011654, -0.299582708037349, -0.31407763325279914, -0.2350388205449091], [0.34121439697431866, 1.0010793574707806, -0.15482142627315015, -0.225995879614762, -0.1577761525666461], [0.09398651792509781, 0.737678362915291, 0.910323137084497, 0.058657197757598506, -0.037616936696727776], [0.01897849996713012, 0.5733874676544747, 0.7128130701239502, 1.1834999830896205, 0.1545448770665664], [0.016065866107366805, 0.48111363527773704, 0.5185238955239535, 1.0083060173184661, 1.1047312886418412]]","[[-0.45255839315340296, -0.3182121841626004, -0.4668910349288536, -0.4846543679799907, -0.42997592418162195], [-0.5082431178842163, -0.09730832443495363, -0.3829967615465675, -0.3755624032860145, -0.3508360000595547], [-0.5909940261303519, -0.35434835892431044, -0.23219436214044534, -0.3304586577870749, -0.2818641892458237], [-0.5845333331909117, -0.3616303685979976, -0.329093841430162, -0.21960061501601888, -0.3239622516377579], [-0.5697089668737939, -0.34636428057318214, -0.3417407957625746, -0.37934207853918084, -0.1405586264853559]]","[0, 0, 0, 0, 0]",-0.5056961578939999,0,"[[3, 5, 6], [6, 7, 0], [0, 2, 1], [1, 4, 9], [9, 8, 3]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
"[608.6361152571626, 534.6362834189786, 635.8046269970946, 377.24431864195503, 513.2240885926876]",-2.1750000000000007,6.141666666666675,"[[96.36666666666667, 9.366666666666665, 0.0, 0.0, 0.0], [95.96666666666667, 94.69999999999999, 59.86666666666667, 0.0, 0.0], [94.86666666666666, 93.26666666666667, 97.43333333333334, 40.766666666666666, 0.0], [94.46666666666667, 92.0, 95.73333333333333, 96.6, 8.333333333333332], [94.3, 91.03333333333333, 95.03333333333333, 96.03333333333333, 97.66666666666667]]",0.9481333333333333,"[21.933333333333337, 23.83333333333333, 18.700000000000003, 21.933333333333337, 18.66666666666667]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.7183488679394571, -0.5057519326384357, -0.7152704395233002, -0.7997890938292822]","[-0.7562219821116081, -0.5704816075280561, -0.8051883280940255, -0.905888403233777]","[-0.18038201140920454, 0.014586402097413409, -0.07042000394851954, 0.06293450204574415]","[0.5394920371912545, 1.0397308605691582, 1.3494407459586704, 1.4829633406143214]","[[0.6239337730672071, -0.1821944719180406, -0.2350122386845066, -0.3315120403197475, 0.0036528218544622606], [0.5315023352995177, 0.7670331391791754, 0.014076326737792133, -0.24900917491804556, 0.03267077816850145], [0.3566967684489742, 0.5250230758357267, 1.0300970522674413, -0.07076064247046884, 0.051315812906740636], [0.2682801099878693, 0.33301887274529574, 0.7369723830719573, 0.96484684596596, 0.05849417288700096], [0.38524756527897797, 0.2760445355724614, 0.5794224164426711, 0.7533119391268867, 1.099050457845726]]","[[-0.17742431116529908, -0.3753715447663744, -0.37414087744895624, -0.5284778722872593, -0.3408102149400786], [-0.33980855230260193, -0.2887146675847429, -0.33123020221386484, -0.5269887747102125, -0.38288934648420064], [-0.37761538582116994, -0.3489110381394022, -0.21614244481700684, -0.479021965784858, -0.3775795600209144], [-0.3990791174652089, -0.43255174809543423, -0.3745097965267406, -0.2871033936864627, -0.34843375429233564], [-0.3391992752121003, -0.41739063066992554, -0.38143239852392835, -0.4843421325508351, -0.18093897433310765]]","[0, 0, 0, 0, 0]",-0.6484567501492856,0,"[[9, 0, 3], [3, 2, 8], [8, 4, 7], [7, 5, 6], [6, 1, 9]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
"[607.2625004532747, 584.1608373045456, 490.15839150256943, 536.9075271463953, 409.7038722461439]",-6.533333333333335,13.700000000000005,"[[97.03333333333333, 46.33333333333333, 0.0, 0.0, 0.0], [95.23333333333333, 90.73333333333333, 50.366666666666674, 0.0, 0.0], [93.86666666666666, 89.23333333333333, 95.96666666666667, 59.699999999999996, 0.0], [93.16666666666666, 86.2, 95.26666666666667, 97.36666666666667, 31.766666666666666], [92.5, 82.3, 86.76666666666667, 93.4, 89.56666666666668]]",0.8890666666666667,"[21.700000000000003, 28.066666666666663, 18.60000000000001, 21.299999999999997, 33.13333333333334]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.5893385372846504, -0.6041353448012396, -0.47426681710147, -0.7517073331526417]","[-0.6291950807155557, -0.6905392696570569, -0.5647503263455448, -0.851112580692201]","[-0.18067785466977163, -0.018911016657103763, 0.10895183565935296, -0.10887834871552295]","[0.4872432953907891, 0.9712563195396924, 1.2722987589772812, 1.4377168873285397]","[[0.6628400438224272, -0.18257401571045662, -0.22116569794781885, -0.27037173954608873, -0.31344664005438544], [0.5098849614025875, 0.7348678157296463, -0.022798887855630206, -0.19413959651808446, -0.28806867128098473], [0.36925764110037934, 0.5077999044337385, 1.1109947778303344, 0.10421142178436647, -0.2650188071198506], [0.29942547229726985, 0.27099786236985535, 0.9166180102602769, 1.2778817369372424, -0.10510625646286391], [0.33422807623411604, 0.12852457246434104, 0.4453954989792095, 0.6269176423861703, 0.7285119941851238]]","[[-0.20792684053377455, -0.3933659471043411, -0.4115512291911528, -0.44991029707253344, -0.48176992721511397], [-0.3569796222153816, -0.3193050235536969, -0.3586707416809894, -0.41612336634440567, -0.47992921958713763], [-0.3648925193402674, -0.39884250919525455, -0.1926409453541995, -0.33931464994767674, -0.4784296551977946], [-0.38300393985724696, -0.4240241121492725, -0.3090312440503683, -0.212039040777618, -0.4673407968858325], [-0.34224331294192495, -0.3913897986950554, -0.3581652463983993, -0.3982321781006848, -0.3728606845962323]]","[0, 0, 0, 0, 0]",-0.5751953414183337,0,"[[0, 6, 8], [8, 3, 5], [5, 1, 7], [7, 9, 2], [2, 4, 0]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
"[526.5084944618866, 424.90282469661906, 653.1476219119504, 504.96925970632583, 281.11687263508793]",-3.6916666666666664,8.680555555555582,"[[96.16666666666667, 18.9, 0.0, 0.0, 0.0], [95.36666666666666, 94.63333333333334, 32.06666666666666, 0.0, 0.0], [93.36666666666666, 94.1, 92.7, 35.43333333333333, 0.0], [92.60000000000001, 92.5, 90.83333333333333, 97.06666666666666, 34.03333333333333], [91.43333333333334, 91.03333333333333, 87.66666666666667, 95.66666666666667, 95.76666666666667]]",0.9231333333333334,"[20.733333333333334, 22.233333333333334, 37.133333333333326, 13.400000000000006, 27.066666666666677]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.6987351598031764, -0.6750902079182424, -0.29753598860898745, -0.7057129295005002]","[-0.7445302723287434, -0.7568364626391948, -0.3888152273445765, -0.8068953627293577]","[-0.16524615111947838, -0.20081120472085645, 0.2260255405113807, -0.07788942211813776]","[0.5256227122002967, 0.9620083067476664, 1.3547806903757644, 1.4984050752882763]","[[0.6413424387479608, -0.1662623548359499, -0.36598234198331103, -0.20969667758542565, -0.25703514435576374], [0.5983536521911272, 0.7801452240523495, -0.20434595809849074, -0.07103033268288235, -0.23014607221413996], [0.33057741608373875, 0.4194041571522887, 0.7748623662596947, 0.23422231453420242, -0.21166178433776148], [0.2994917190616478, 0.3261376570642979, 0.7010404049948766, 1.1927675099303479, -0.08038181924462559], [0.3710349774055897, 0.1919899920599054, 0.2843770224315488, 0.9087242257145162, 1.0085426230903576]]","[[-0.21812838551244018, -0.3703996099016978, -0.49715584689900627, -0.3648694471875011, -0.488486074264822], [-0.39033797946298826, -0.2902148074204505, -0.45994639139083643, -0.306216717823155, -0.5323286858948838], [-0.45571054497854063, -0.4354064129972886, -0.33023891057215415, -0.29266659891601093, -0.5429454528654288], [-0.4530621576099807, -0.4060129189537381, -0.394498894535265, -0.1015523860634898, -0.44884864768969074], [-0.45588830002001285, -0.4574642771650736, -0.5206338791865699, -0.3242612178479529, -0.3118673483415643]]","[0, 0, 0, 0, 0]",-0.5559352381243933,0,"[[7, 8, 0], [0, 4, 3], [3, 9, 5], [5, 1, 6], [6, 2, 7]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
"[244.40967489546165, 591.9860446755774, 540.4274177821353, 575.1915925932117, 618.4541879738681]",-0.8916666666666693,4.930555555555544,"[[94.06666666666666, 29.733333333333334, 0.0, 0.0, 0.0], [93.66666666666667, 96.7, 45.0, 0.0, 0.0], [91.06666666666666, 97.39999999999999, 96.83333333333334, 55.63333333333333, 0.0], [89.3, 96.93333333333334, 96.2, 97.16666666666667, 67.30000000000001], [91.56666666666666, 96.36666666666667, 96.06666666666666, 97.2, 98.3]]",0.9590000000000001,"[33.099999999999994, 17.53333333333333, 20.19999999999999, 19.36666666666666, 12.200000000000003]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.6569712719762123, -0.5338769822069993, -0.6214645722636943, -0.6216448579750312]","[-0.701421040117993, -0.605749566799979, -0.7176252530093046, -0.7211028914059838]","[-0.08317012003334356, 0.006367865641054071, 0.0459686785163507, 0.36280753700856594]","[0.5028638654367016, 0.9825331064399287, 1.277809001481237, 1.5319813899847359]","[[0.4758865161315138, -0.0823363786784183, -0.26390284257205404, -0.25991310010408536, 0.0498592776333682], [0.429019357683271, 0.8648644143085296, 0.003733720773721546, -0.1357140332992298, 0.13540337285434492], [0.22173474144896277, 0.7909373418399026, 1.1061083352081582, 0.04867500138387159, 0.16361695668891396], [0.10465376562826, 0.5964687031259345, 0.7955900722438929, 0.9154049170579711, 0.36629782070168343], [0.35714362403156713, 0.5317714684210283, 0.7063783844883514, 0.8499434783672343, 1.2543972891869422]]","[[-0.4125322886654814, -0.40495379393857905, -0.49899639825678593, -0.4058662626137744, -0.23871063656953675], [-0.5737116398634813, -0.17439705133838487, -0.378199357552692, -0.332337403560712, -0.31720891488407593], [-0.5530671142777281, -0.2707559750006222, -0.237424741717463, -0.34756243674533827, -0.3133886064592289], [-0.5807061800646038, -0.29703551807709855, -0.42145200159061735, -0.17335479934155051, -0.26216915247396777], [-0.4805260400393266, -0.3335591025287323, -0.43295845856618015, -0.31877185314670825, -0.07095322410772771]]","[0, 0, 0, 0, 0]",-0.549156087772151,0,"[[6, 3, 4], [4, 0, 1], [1, 7, 9], [9, 2, 8], [8, 5, 6]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
"[239.11227951548062, 609.0072522228584, 409.8801320233615, 643.2504542958923, 452.2789716188563]",-2.8249999999999993,6.90833333333333,"[[93.86666666666666, 34.333333333333336, 0.0, 0.0, 0.0], [93.83333333333333, 95.76666666666667, 13.433333333333334, 0.0, 0.0], [90.8, 95.19999999999999, 91.56666666666666, 57.36666666666667, 0.0], [89.5, 94.73333333333333, 90.26666666666667, 96.33333333333334, 77.53333333333333], [88.33333333333333, 93.63333333333334, 88.5, 95.76666666666667, 99.3]]",0.9310666666666667,"[37.1, 20.933333333333337, 31.799999999999997, 19.66666666666667, 15.0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.740503752852167, -0.6829860380159952, -0.6303824298939835, -0.6082906327594605]","[-0.7659553602167264, -0.7411176247464458, -0.7248068408771007, -0.717087133128549]","[-0.12502710574868922, -0.22722698929373517, -0.008666679579353603, 0.43410464939166843]","[0.48811434586021507, 0.906371342301483, 1.2558206382332673, 1.5366177495964384]","[[0.5132742407947576, -0.12271371243365121, -0.347008504277775, -0.2763047364239697, 0.026968652315830167], [0.5093347459314499, 0.8541048621449251, -0.2233979545037287, -0.1364521484009803, 0.12870153262797596], [0.16192611481179034, 0.6224346531479048, 0.7710372645464281, -0.011414805521156923, 0.1456825998921775], [0.09718095973331764, 0.5119740988127521, 0.5473745433631103, 1.0303576760902622, 0.4378415234555824], [0.21742916025906078, 0.45154505136455575, 0.40596218886321395, 0.915835895185813, 1.2689498915701232]]","[[-0.4470942664903996, -0.4221009271760853, -0.48395371560666184, -0.4800766446926356, -0.31351247635828616], [-0.5813617416217115, -0.23479795674898493, -0.41613338180001236, -0.3739641089722037, -0.3184567550506057], [-0.5893131187130184, -0.34262415094208504, -0.3520195131476453, -0.3914788767507657, -0.360335040187771], [-0.5928006373132674, -0.36800323838399224, -0.42443889394901285, -0.17779409271587554, -0.3047276340157858], [-0.5380859814778757, -0.3487312759187812, -0.4438841204710702, -0.33472276011280605, -0.08015076602712405]]","[0, 0, 0, 0, 0]",-0.6042073800470682,0,"[[6, 2, 4], [4, 8, 3], [3, 0, 5], [5, 9, 1], [1, 7, 6]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
"[605.980512830196, 390.236350320396, 249.02186918677762, 434.6699235292617, 695.4012792818248]",-2.2249999999999943,4.930555555555542,"[[97.96666666666667, 30.733333333333334, 0.0, 0.0, 0.0], [98.23333333333333, 96.56666666666666, 23.033333333333335, 0.0, 0.0], [97.26666666666667, 94.83333333333334, 91.56666666666666, 45.1, 0.0], [96.93333333333334, 94.53333333333333, 91.03333333333333, 95.26666666666667, 11.933333333333334], [97.33333333333334, 94.0, 87.36666666666667, 93.76666666666667, 98.23333333333333]]",0.9414000000000001,"[10.933333333333323, 18.066666666666663, 43.300000000000004, 25.133333333333326, 12.733333333333334]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[-0.5085253653907797, -0.9341804911711346, -0.7565439900893074, -0.47366998328249293]","[-0.5409727638079137, -0.9851239345852136, -0.8455712285167511, -0.5838622153669518]","[-0.0354829831978771, -0.3795808852196476, -0.03619646469151331, 0.2871405065165638]","[0.5661730698327389, 0.9066727891396682, 1.2472817256222568, 1.5154405234552442]","[[0.7207920878902634, -0.0343609582735325, -0.4749922078603828, -0.32239505533353746, 0.007085172215530552], [0.8887468820263681, 1.0395276016018105, -0.3837216066229387, -0.28135425001554815, 0.12805765247192769], [0.4831875507158078, 0.6143479879895771, 0.6846524639330326, -0.03112445802418907, 0.10945550602385527], [0.47986949564331177, 0.4792841818685758, 0.5922547425386125, 1.0066696698782438, 0.2923421969156289], [0.7088889829229562, 0.4734053783201741, 0.31335927199345726, 0.7143091205808699, 1.2364633083203074]]","[[-0.020813542319025265, -0.31230627097910385, -0.5813460345608846, -0.4168757959207224, -0.26796599031307894], [-0.2186730994263919, -0.17914046385594215, -0.5719816568464978, -0.445171889334325, -0.3457982262776427], [-0.32794426378585567, -0.3909177673341908, -0.5009139475868701, -0.4220224001064077, -0.38332920294389466], [-0.27489272903530876, -0.38857215040913634, -0.570764197660364, -0.3262185270823157, -0.3298365035878085], [-0.1968571575396317, -0.35763621377044935, -0.5784470008290744, -0.3922465714425953, -0.08936424579029796]]","[0, 0, 0, 0, 0]",-0.6478966241500954,0,"[[6, 8, 7], [7, 1, 3], [3, 4, 2], [2, 0, 5], [5, 9, 6]]","[[5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000], [5000, 5000, 5000]]","[3, 6, 9, 12, 15]"
